| Nº     | Título propuesto                                   | Texto de la diapositiva (≤ 3 frases)                                                                                                                                                                                                                                                                                                                                          | Imagen sugerida                                                                            | Notas orales (30–60 s aprox.)                                                                                                                                                                                                                                                                                                                     |
| ------ | -------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **Portada**                                        | **NutriPlan: aplicación para la gestión de recetas**. <br>Trabajo Fin de Grado, 5 nov 2025.                                                                                                                                                                                                                                                                                   | `logo_facultad.png` (o `logo-ceuta.jpg`)                                                   | Preséntate y presenta el título de tu TFG. Indica tu nombre, titulación y fecha de defensa. Agradece al tribunal su presencia.                                                                                                                                                                                                                    |
| **2**  | **Índice de la presentación**                      | Breve esquema: Motivación, Objetivos, Metodología y desarrollo, Arquitectura y diseño, Funcionalidades, Interfaz, Resultados y validación, Conclusiones, Futuras mejoras.                                                                                                                                                                                                     | Puedes incluir un diagrama sencillo (`navigation_flow.png`) como fondo tenue.              | Explica que la exposición seguirá esta estructura para ajustarse al tiempo disponible. Destaca que los puntos se derivan de la memoria.                                                                                                                                                                                                           |
| **3**  | **Motivación**                                     | • El 43 % de los adultos sufre sobrepeso y el 16 % padece obesidad.<br>• Reducir el desperdicio de alimentos en el hogar (más del 50 %) mejora salud y economía.<br>• Mi experiencia Erasmus demostró que planificar las compras reduce costes y fomenta hábitos saludables.                                                                                                  | `MainScreenScreenshot.png` (muestra la planificación semanal).                             | Relata brevemente las estadísticas globales y cómo te inspiraron a crear NutriPlan. Menciona tu experiencia personal en Erasmus para humanizar la motivación. Conecta el problema con la necesidad de una app que ayude a planificar y reducir el desperdicio.                                                                                    |
| **4**  | **Objetivos del proyecto**                         | • Objetivo general: facilitar la planificación dietética y la gestión de recetas fomentando un estilo de vida saludable y sostenible.<br>• Gestión de recetas e ingredientes: crear, editar y eliminar recetas, y llevar registro de la despensa.<br>• Planificación semanal y lista de la compra: asignar recetas a días y generar automáticamente la lista de ingredientes. | `RecipeList.png` o `MealPicker.png`.                                                       | Explica que NutriPlan pretende ser una herramienta integral: permite organizar tus recetas, conocer qué ingredientes tienes y planificar las comidas semanales. Señala que estas funciones ayudan a comer mejor, ahorrar y ser sostenible.                                                                                                        |
| **5**  | **Metodología y fases de desarrollo**              | • Análisis y requisitos (semanas 1–2): recopilación de necesidades y estudio de apps existentes.<br>• Diseño de interfaz y arquitectura (semanas 3–4): bocetos, diagramas UML y selección de tecnologías.<br>• Desarrollo iterativo (semanas 5–17): creación del prototipo inicial, ampliación con despensa y lista de compra, refinamiento y pruebas.                        | `PlantillaTablaMealPlanning.png` o `navigation_flow.png`.                                  | Describe cómo organizaste tu trabajo: primero definiste requisitos y tecnologías, luego diseñaste la arquitectura y finalmente implementaste la app de forma iterativa. Menciona que al final realizaste pruebas unitarias e integración para validar las funcionalidades.                                                                        |
| **6**  | **Arquitectura del sistema**                       | • Diseño en capas: componentes de presentación, pantallas, servicios, contexto y tipos.<br>• Separación de entidades (Recipe, Ingredient, WeeklyMeal, PantryItem) para evitar duplicidad de datos.<br>• App Provider (Context API) y navegación controlan autenticación y flujo de pantallas.                                                                                 | `arquitectura.png` o `class_diagram.png`.                                                  | Explica que la aplicación está organizada en capas para facilitar el mantenimiento y la escalabilidad. Describe brevemente las principales entidades del modelo y cómo el contexto global de React centraliza el estado y la navegación. Destaca el uso de Firebase para autenticación y persistencia.                                            |
| **7**  | **Principales funcionalidades**                    | • Autenticación de usuarios con Firebase.<br>• Gestión de recetas (CRUD) y búsqueda rápida de ingredientes con MiniSearch.<br>• Planificación semanal, gestión de despensa y generación automática de la lista de la compra.                                                                                                                                                  | `IngredientSearchModal.png` o `GroceryListScreen.jpeg`.                                    | Resume cada funcionalidad clave: registro e inicio de sesión; creación, edición y eliminación de recetas; búsqueda eficiente de ingredientes; planificación por días; inventario de despensa y cálculo automático de lo que falta comprar. Destaca que estas opciones trabajan en conjunto para reducir el desperdicio y mejorar la organización. |
| **8**  | **Diseño de la interfaz y experiencia de usuario** | • Diseño minimalista con paleta blanca y naranja, tipografía clara y contraste accesible.<br>• Interacciones intuitivas: gestos naturales y feedback visual inmediato (mantener pulsado para opciones, marcar como comprado).<br>• Adaptación a cada caso de uso: planificación semanal, gestión de recetas, lista de compra y despensa.                                      | `RecipesScreen.jpeg` o `LoginScreen.png`.                                                  | Explica las decisiones de diseño: elegir colores que cumplan con la accesibilidad, jerarquía tipográfica y elementos intuitivos. Comenta cómo cada pantalla está diseñada para su propósito específico y cómo las interacciones (botones, gestos) facilitan la navegación.                                                                        |
| **9**  | **Desarrollo y prototipos**                        | • Fase inicial: validación de la idea con autenticación y recetas básicas.<br>• Fase de expansión: incorporación de despensa, lista de compra, planificación semanal y búsqueda local.<br>• Fase de refinamiento: optimización del código, gestión de imágenes y sincronización offline.                                                                                      | `MainScreenScreenshot.png` o `AddRecipeModal.png`.                                         | Resume cómo evoluciona la aplicación: empieza con un núcleo simple para probar la viabilidad, luego se amplían las funciones para cubrir todas las necesidades del usuario y finalmente se pulen detalles técnicos y de usabilidad. Comenta el valor de la iteración y la mejora continua.                                                        |
| **10** | **Validación y pruebas**                           | • Pruebas unitarias e integración verifican operaciones CRUD, lista de la compra e interfaz.<br>• Organización del código con README facilita que cualquiera pueda ejecutar la app y reproducir las pruebas.<br>• Se propone combinar pruebas técnicas con evaluaciones de usabilidad para mejorar la experiencia.                                                            | `GroceryListScreen.jpeg` o `PantryScreen.jpeg`.                                            | Explica que se realizaron pruebas para asegurar que cada función (crear recetas, planificación, lista de la compra) funciona correctamente. Menciona que las pruebas se documentan y que el proyecto incluye instrucciones para reproducirlas. Recomienda realizar evaluaciones con usuarios para validar la usabilidad.                          |
| **11** | **Conclusiones técnicas**                          | • React Native y Firebase permiten un desarrollo multiplataforma con un único código y backend serverless.<br>• La arquitectura en capas simplifica la separación de responsabilidades y mejora la escalabilidad.<br>• El uso de Context API y hooks optimiza el rendimiento sin la complejidad de Redux.                                                                     | `class_diagram.png` o `navigation_flow.png`.                                               | Destaca que las decisiones técnicas tomadas –React Native, Firebase, separación en capas y uso de hooks– han demostrado ser efectivas para construir una app robusta y escalable. Señala que estas elecciones facilitan futuras mejoras y mantenimiento.                                                                                          |
| **12** | **Conclusiones personales**                        | • El proyecto ha permitido dominar tecnologías como Firebase, Firestore y React Native y comprender el ciclo de vida de una app móvil.<br>• Usar NutriPlan semanalmente mejoró mi alimentación, organización del tiempo y gestión del presupuesto.<br>• La mejora incremental y la documentación constante fueron clave para el aprendizaje.                                  | `tstc.png` (una imagen motivacional o decorativa) o ninguna.                               | Personaliza esta parte agradeciendo la oportunidad de aprender y desarrollar una aplicación real. Comenta cómo tus hábitos han mejorado gracias a NutriPlan y cómo el proyecto te ha enseñado el valor de iterar y documentar.                                                                                                                    |
| **13** | **Futuras mejoras**                                | • Integración con APIs externas para obtener precios y datos nutricionales en tiempo real.<br>• Recomendaciones personalizadas mediante algoritmos de IA basados en preferencias y hábitos.<br>• Análisis nutricional avanzado, internacionalización, accesibilidad y mejoras en seguridad.                                                                                   | `PlantillaMealPlanningRellenada.png` o `PantryScreen.jpeg`.                                | Explica que la app puede evolucionar: conectarse con supermercados para precios, recomendar recetas según objetivos dietéticos, calcular macronutrientes y adaptarse a más idiomas y necesidades de accesibilidad. Menciona que también se plantea mejorar la autenticación y sincronizar con wearables.                                          |
| **14** | **Cierre y agradecimientos**                       | • NutriPlan demuestra que la planificación inteligente reduce el desperdicio y mejora la salud.<br>• Este proyecto combina tecnología y bienestar, proponiendo un estilo de vida más consciente.<br>• Gracias por su atención; estoy abierto a preguntas.                                                                                                                     | Usa de fondo la portada o un gráfico sencillo; también puedes incluir `logo_facultad.png`. | Resume brevemente la importancia de la aplicación y su impacto. Agradece a tus directores, familiares y amigos por su apoyo. Invita al tribunal a hacer preguntas.                                                                                                                                                                                |

